interval_id,scenario_id,start_min,end_min,duration_s,inlet_id,drain_node_id,drain_id,road_id,surface_row,surface_col,arrival_volume_m3,potential_inflow_q_m3s,entry_capacity_m3s,entry_capacity_source,entry_capacity_is_observed,coupling_method
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00123,RN_DNODE_00330,RN_DRAIN_00442,RN_ROAD_00034,105,100,10.518750190734863,0.005843750105963813,0.30124813859248456,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00124,RN_DNODE_00333,RN_DRAIN_00131,RN_ROAD_00634,80,100,33.41249942779541,0.01856249968210856,0.22781081406408252,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00125,RN_DNODE_00339,RN_DRAIN_00534,RN_ROAD_00011,114,101,86.00625038146973,0.047781250211927626,1.0125751333185353,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00126,RN_DNODE_00340,RN_DRAIN_00531,RN_ROAD_00003,113,101,60.63750076293945,0.03368750042385525,0.03485428291526828,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00127,RN_DNODE_00341,RN_DRAIN_00443,RN_ROAD_00034,105,101,90.33750057220459,0.05018750031789144,0.5674438686929558,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00128,RN_DNODE_00344,RN_DRAIN_00142,RN_ROAD_00353,81,101,94.66874980926514,0.05259374989403619,0.10542103561186149,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00129,RN_DNODE_00348,RN_DRAIN_00444,RN_ROAD_00035,105,102,32.17500019073486,0.017875000105963813,1.036783363348529,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00131,RN_DNODE_00353,RN_DRAIN_00143,RN_ROAD_00388,81,102,40.83749961853027,0.022687499788072375,0.03485428291526828,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00132,RN_DNODE_00356,RN_DRAIN_00454,RN_ROAD_00017,106,103,51.35625076293945,0.02853125042385525,1.4082442328435159,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00134,RN_DNODE_00359,RN_DRAIN_00208,RN_ROAD_00356,86,103,226.46250247955322,0.12581250137752956,0.09006678976697921,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00135,RN_DNODE_00360,RN_DRAIN_00144,RN_ROAD_00388,81,103,31.556249618530273,0.017531249788072373,0.10887560820568472,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00136,RN_DNODE_00362,RN_DRAIN_00455,RN_ROAD_00016,106,104,173.25000095367432,0.09625000052981907,0.3425817481644578,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00137,RN_DNODE_00364,RN_DRAIN_00277,RN_ROAD_00302,91,104,1064.2500066757202,0.5912500037087335,0.30116185815577506,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00138,RN_DNODE_00365,RN_DRAIN_00145,RN_ROAD_00388,81,104,52.59375,0.02921875,0.21676002461835764,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00144,RN_DNODE_00375,RN_DRAIN_00318,RN_ROAD_00298,94,106,21.037500381469727,0.011687500211927626,0.03485428291526828,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00145,RN_DNODE_00378,RN_DRAIN_00146,RN_ROAD_00388,81,106,64.96875,0.03609375,0.12524186330580878,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00146,RN_DNODE_00382,RN_DRAIN_00476,RN_ROAD_00014,108,107,21.037500381469727,0.011687500211927626,1.5879626023456346,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00148,RN_DNODE_00386,RN_DRAIN_00159,RN_ROAD_00386,82,107,54.44999980926514,0.03024999989403619,0.06828671863062642,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
