interval_id,start_min,end_min,edge_id,graph_u,graph_v,graph_key,road_id,source_road_id,road_class,name,length_m,sampling_method,sampling_status,sample_cell_count,max_depth_m,mean_depth_m,p90_depth_m,fraction_gt_0m,fraction_gt_0_02m,fraction_gt_0_10m,fraction_gt_0_30m
000_030,0,30,RN_ROAD_00063,RN_NODE_00226,RN_NODE_00258,0,RN_ROAD_00063,RN_ROAD_00063,residential,,104.41866178505872,road_line_intersected_raster_cells_all_touched,mapped,4,0.00592432776466012,0.003145894399494864,0.0055174587294459345,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00056,RN_NODE_00186,RN_NODE_00187,0,RN_ROAD_00056,RN_ROAD_00056,residential,,25.120377643736735,road_line_intersected_raster_cells_all_touched,mapped,2,0.009924104437232018,0.006326956674456596,0.009204674884676934,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00241,RN_NODE_00186,RN_NODE_00156,0,RN_ROAD_00241,RN_ROAD_00241,residential,,61.68449622986819,road_line_intersected_raster_cells_all_touched,mapped,3,0.010160202160477638,0.008357192700107893,0.010112982615828514,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00058,RN_NODE_00211,RN_NODE_00187,0,RN_ROAD_00058,RN_ROAD_00058,residential,,45.06280672272299,road_line_intersected_raster_cells_all_touched,mapped,2,0.005329503677785397,0.004029656294733286,0.005069534201174975,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00059,RN_NODE_00211,RN_NODE_00227,0,RN_ROAD_00059,RN_ROAD_00059,residential,,38.98029653189591,road_line_intersected_raster_cells_all_touched,mapped,3,0.008496014401316643,0.005554824601858854,0.007862712256610394,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00060,RN_NODE_00211,RN_NODE_00212,0,RN_ROAD_00060,RN_ROAD_00060,tertiary,['Dattawadi Road'],36.97983102056298,road_line_intersected_raster_cells_all_touched,mapped,2,0.005329503677785397,0.003549120156094432,0.0049734269734472035,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00057,RN_NODE_00227,RN_NODE_00238,0,RN_ROAD_00057,RN_ROAD_00057,residential,,28.855080650982604,road_line_intersected_raster_cells_all_touched,mapped,2,0.0028389557264745235,0.0018717831699177623,0.002645521215163171,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00244,RN_NODE_00187,RN_NODE_00175,0,RN_ROAD_00244,RN_ROAD_00244,residential,,33.110798205839764,road_line_intersected_raster_cells_all_touched,mapped,2,0.0028277861420065165,0.002778797526843846,0.0028179884189739822,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00066,RN_NODE_00238,RN_NODE_00259,0,RN_ROAD_00066,RN_ROAD_00066,residential,,75.86989844292557,road_line_intersected_raster_cells_all_touched,mapped,3,0.000904610613361001,0.00030153687112033367,0.0007236884906888009,0.3333333333333333,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00071,RN_NODE_00238,RN_NODE_00239,0,RN_ROAD_00071,RN_ROAD_00071,residential,,40.63568578815476,road_line_intersected_raster_cells_all_touched,mapped,3,0.000904610613361001,0.0005199751370431235,0.0008266636868938804,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00072,RN_NODE_00212,RN_NODE_00193,0,RN_ROAD_00072,RN_ROAD_00072,tertiary,,38.410056230253225,road_line_intersected_raster_cells_all_touched,mapped,2,0.0017687366344034672,0.0016271349741145968,0.001740416302345693,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00073,RN_NODE_00212,RN_NODE_00228,0,RN_ROAD_00073,RN_ROAD_00073,tertiary,,40.09538264547372,road_line_intersected_raster_cells_all_touched,mapped,4,0.0017687366344034672,0.001010096566460561,0.0017097808420658111,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00080,RN_NODE_00212,RN_NODE_00213,0,RN_ROAD_00080,RN_ROAD_00080,tertiary,['Dattawadi Road'],126.01139667967246,road_line_intersected_raster_cells_all_touched,mapped,6,0.0017687366344034672,0.0006676472742886593,0.0015612220158800483,0.5,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00065,RN_NODE_00258,RN_NODE_00259,0,RN_ROAD_00065,RN_ROAD_00065,tertiary,,38.55343416567287,road_line_intersected_raster_cells_all_touched,mapped,2,0.0008705136715434492,0.0004352568357717246,0.0007834623043891043,0.5,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00067,RN_NODE_00259,RN_NODE_00260,0,RN_ROAD_00067,RN_ROAD_00067,tertiary,,40.74518304705443,road_line_intersected_raster_cells_all_touched,mapped,3,5.009158030588878e-06,1.669719343529626e-06,4.007326424471103e-06,0.3333333333333333,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00069,RN_NODE_00260,RN_NODE_00264,0,RN_ROAD_00069,RN_ROAD_00069,tertiary,,26.62863146932078,road_line_intersected_raster_cells_all_touched,mapped,3,5.009158030588878e-06,1.669719343529626e-06,4.007326424471103e-06,0.3333333333333333,0.0,0.0,0.0
